,PETR4.SA.OPEN,PETR4.SA.HIGH,PETR4.SA.LOW,PETR4.SA.CLOSE,PETR4.SA.VOLUME,PETR4.SA.ADJUSTED,FECHAMENTO,
2016-08-04,11.93,12.12,11.87,12.01,63207500,11.521798,ALTA,
2016-08-05,12.12,12.17,11.65,11.65,54225900,11.176432,BAIXA,
2016-08-08,11.79,11.97,11.70,11.91,41552000,11.425863,ALTA,
2016-08-09,11.92,12.07,11.75,11.88,33596200,11.397083,BAIXA,
2016-08-10,11.95,11.97,11.56,11.56,41638400,11.090092,BAIXA,
2016-08-11,11.63,12.10,11.60,12.10,55881500,11.608140,ALTA,
2016-08-12,12.05,12.44,11.98,12.00,71281300,11.512205,BAIXA,
2016-08-15,12.19,12.37,12.07,12.31,53568000,11.809605,ALTA,
2016-08-16,12.31,12.56,12.14,12.49,48218700,11.982286,ALTA,
2016-08-17,12.47,12.76,12.32,12.76,46809100,12.241311,ALTA,
2016-08-18,12.80,13.03,12.78,12.88,44941100,12.356433,ALTA,
2016-08-19,12.82,12.92,12.70,12.79,33360000,12.270092,BAIXA,
2016-08-22,12.63,12.63,12.30,12.35,43258900,11.847978,BAIXA,
2016-08-23,12.48,12.86,12.42,12.67,61048000,12.154970,ALTA,
2016-08-24,12.50,12.71,12.37,12.40,44694700,11.895945,BAIXA,
2016-08-25,12.42,12.64,12.35,12.53,40290500,12.020660,ALTA,
2016-08-26,12.69,12.90,12.45,12.55,50650500,12.039848,BAIXA,
2016-08-29,12.50,12.96,12.45,12.87,36990100,12.346840,ALTA,
2016-08-30,13.04,13.23,12.97,13.09,51893700,12.557897,ALTA,
2016-08-31,13.13,13.22,12.71,12.85,61016100,12.327654,BAIXA,
2016-09-01,12.97,13.09,12.76,13.00,45370000,12.471555,ALTA,
2016-09-02,13.22,13.58,13.15,13.57,57017000,13.018384,ALTA,
2016-09-05,13.79,13.93,13.73,13.83,26292200,13.267816,ALTA,
2016-09-06,13.69,13.98,13.53,13.98,42086900,13.411718,ALTA,
2016-09-08,14.07,14.29,13.96,14.22,42797300,13.641963,ALTA,
2016-09-09,13.96,14.02,13.51,13.51,43155300,12.960824,BAIXA,
2016-09-12,13.32,13.95,13.27,13.95,44141000,13.382937,ALTA,
2016-09-13,13.70,13.85,12.94,13.01,64134000,12.481148,BAIXA,
2016-09-14,13.15,13.36,12.97,13.11,43932500,12.577085,BAIXA,
2016-09-15,13.21,13.56,13.16,13.51,42169100,12.960824,ALTA,
2016-09-16,13.34,13.42,13.16,13.16,44651900,12.625051,BAIXA,
2016-09-19,13.42,13.54,13.02,13.05,51105500,12.519524,BAIXA,
2016-09-20,13.45,13.63,13.33,13.50,52063100,12.951230,ALTA,
2016-09-21,13.60,13.69,13.40,13.66,61094100,13.104726,ALTA,
2016-09-22,13.89,14.09,13.84,14.00,47574500,13.430905,ALTA,
2016-09-23,13.98,13.98,13.54,13.69,53264300,13.133506,BAIXA,
2016-09-26,13.59,13.69,13.39,13.40,35545800,12.855295,BAIXA,
2016-09-27,13.40,13.40,12.87,13.12,58098200,12.586678,BAIXA,
2016-09-28,13.30,13.85,13.12,13.85,69032100,13.287004,ALTA,
2016-09-29,13.80,13.90,13.43,13.43,53143200,12.884077,BAIXA,
2016-09-30,13.53,13.77,13.44,13.57,39275000,13.018384,ALTA,
2016-10-03,13.67,13.97,13.62,13.97,34444500,13.402125,ALTA,
2016-10-04,13.98,14.12,13.83,14.02,39717400,13.450093,ALTA,
2016-10-05,14.19,14.64,14.16,14.58,65242200,13.987329,ALTA,
2016-10-06,14.71,15.10,14.62,15.10,77003800,14.486191,ALTA,
2016-10-07,15.23,15.38,14.97,15.26,71691000,14.639688,ALTA,
2016-10-10,15.52,15.77,15.51,15.73,38724300,15.090581,ALTA,
2016-10-11,15.61,15.66,15.29,15.39,69314500,14.764403,BAIXA,
2016-10-13,15.19,15.82,15.03,15.76,58212500,15.119362,ALTA,
2016-10-14,16.01,16.29,15.98,16.26,66150000,15.599037,ALTA,
2016-10-17,16.24,16.90,16.07,16.90,75002000,16.213020,ALTA,
2016-10-18,17.21,17.64,17.18,17.42,76995000,16.711884,ALTA,
2016-10-19,17.72,17.79,17.34,17.62,65212400,16.903755,BAIXA,
2016-10-20,17.31,17.74,17.22,17.74,62901500,17.018875,ALTA,
2016-10-21,17.65,18.09,17.48,17.95,47961800,17.220341,ALTA,
2016-10-24,18.26,18.43,18.00,18.20,51678900,17.460176,BAIXA,
2016-10-25,18.22,18.29,17.71,18.00,57674100,17.268307,BAIXA,
2016-10-26,17.70,18.25,17.61,18.10,51424400,17.364243,ALTA,
2016-10-27,18.11,18.49,18.09,18.09,43645900,17.354650,BAIXA,c
2016-10-28,17.99,18.29,17.95,18.09,37689700,17.354650,ALTA,
2016-10-31,18.03,18.17,17.61,17.69,42059100,16.970911,BAIXA,
2016-11-01,17.88,17.88,16.56,16.86,68718800,16.174650,BAIXA,
2016-11-03,16.63,17.03,16.13,16.13,56998700,15.474321,BAIXA,
2016-11-04,16.47,16.58,15.91,15.99,61347700,15.340013,BAIXA,
2016-11-07,16.71,17.21,16.71,17.21,51625300,16.510422,BAIXA,
2016-11-08,17.10,17.48,16.73,17.04,56241000,16.347332,BAIXA,
2016-11-09,15.85,17.10,15.81,16.65,111417100,15.973186,ALTA,
