,PETR4.SA.OPEN,PETR4.SA.HIGH,PETR4.SA.LOW,PETR4.SA.CLOSE,PETR4.SA.VOLUME,PETR4.SA.ADJUSTED,FECHAMENTO
2015-04-29,12.58,12.93,12.53,12.82,35821900,12.298871,ALTA
2015-04-30,12.83,13.15,12.80,13.06,48515300,12.529117,ALTA
2015-05-04,13.31,13.85,13.30,13.79,55651100,13.229443,ALTA
2015-05-05,13.70,14.61,13.67,14.43,76329800,13.843427,BAIXA
2015-05-06,14.75,14.95,13.57,13.79,72197500,13.229443,BAIXA
2015-05-07,13.80,14.05,13.33,13.66,44978900,13.104726,BAIXA
2015-05-08,14.04,14.09,13.36,13.51,43687900,12.960824,BAIXA
2015-05-11,13.68,13.83,13.43,13.77,28040500,13.210256,ALTA
2015-05-12,13.70,14.06,13.63,13.73,30765100,13.171881,ALTA
2015-05-13,13.87,14.13,13.75,13.98,45346800,13.411718,ALTA
2015-05-14,14.10,14.23,13.76,13.90,49457700,13.334970,BAIXA
2015-05-15,13.92,14.12,13.61,14.04,54224100,13.469279,ALTA
2015-05-18,14.64,14.65,13.52,13.70,82200400,13.143101,BAIXA
2015-05-19,13.55,13.59,12.79,12.89,70521100,12.366026,BAIXA
2015-05-20,12.76,13.12,12.63,12.84,43164900,12.318059,ALTA
2015-05-21,12.86,13.52,12.86,13.48,53682900,12.932042,ALTA
2015-05-22,13.52,13.65,12.92,13.07,53753700,12.538709,BAIXA
2015-05-25,12.98,13.01,12.72,12.83,24377600,12.308465,BAIXA
2015-05-26,12.80,12.86,12.36,12.39,44844200,11.886352,BAIXA
2015-05-27,12.50,12.66,12.29,12.54,47223300,12.030253,ALTA
2015-05-28,12.47,12.82,12.40,12.65,96419400,12.135782,ALTA
2015-05-29,12.71,12.78,12.30,12.33,75971600,11.828790,BAIXA
2015-06-01,12.43,12.65,12.25,12.36,40498000,11.857571,BAIXA
2015-06-02,12.55,12.95,12.47,12.88,47041600,12.356433,ALTA
2015-06-03,12.96,13.10,12.72,12.79,90062100,12.270092,BAIXA
2015-06-05,12.58,12.78,12.42,12.57,36719100,12.059033,BAIXA
2015-06-08,12.61,12.77,12.47,12.57,23667600,12.059033,ALTA
2015-06-09,12.61,13.17,12.57,13.00,88228800,12.471555,ALTA
2015-06-10,13.30,13.44,12.92,13.08,45583600,12.548303,BAIXA
2015-06-11,13.13,13.14,12.85,13.10,35341600,12.567490,BAIXA
2015-06-12,12.86,13.04,12.83,13.02,30067700,12.490743,ALTA
2015-06-15,12.97,13.09,12.90,13.01,31713200,12.481148,ALTA
2015-06-16,13.04,13.48,12.91,13.38,49988000,12.836108,ALTA
2015-06-17,13.50,13.59,13.12,13.14,40920200,12.605865,BAIXA
2015-06-18,13.28,13.45,13.15,13.45,26832100,12.903262,ALTA
2015-06-19,13.31,13.44,13.10,13.15,36247800,12.615457,BAIXA
2015-06-22,13.30,13.37,13.13,13.17,22567300,12.634645,BAIXA
2015-06-23,13.27,13.43,12.95,12.97,48007400,12.442775,BAIXA
2015-06-24,13.06,13.35,13.05,13.22,39613200,12.682611,ALTA
2015-06-25,13.23,13.24,12.52,12.60,48369000,12.087815,BAIXA
2015-06-26,12.66,13.21,12.64,13.21,34536800,12.673018,ALTA
2015-06-29,13.00,13.59,12.62,12.85,63175500,12.327654,BAIXA
2015-06-30,12.90,12.99,12.65,12.69,32876500,12.174155,BAIXA
2015-07-01,12.80,12.85,12.01,12.16,62627200,11.665700,BAIXA
2015-07-02,12.35,12.53,12.16,12.35,37421500,11.847978,ESTAVEL
2015-07-03,12.25,12.31,11.68,11.76,31574500,11.281960,BAIXA
2015-07-06,11.51,11.73,11.28,11.51,51206800,11.042123,ESTAVEL
2015-07-07,11.36,11.85,10.82,11.77,72452800,11.291554,ALTA
2015-07-08,11.62,11.99,11.33,11.46,44001500,10.994155,BAIXA
2015-07-10,11.90,11.98,11.75,11.81,30885900,11.329929,BAIXA
2015-07-13,11.87,11.93,11.58,11.79,29585400,11.310741,BAIXA
2015-07-14,11.69,12.08,11.58,11.99,37058500,11.502611,ALTA
2015-07-15,11.96,12.06,11.72,11.78,33375100,11.301147,BAIXA
2015-07-16,11.89,11.99,11.82,11.99,26442500,11.502611,ALTA
2015-07-17,11.82,11.90,11.39,11.41,39929900,10.946187,BAIXA
2015-07-20,11.46,11.54,10.75,10.79,48763200,10.351391,BAIXA
2015-07-21,10.91,11.24,10.60,10.73,40357600,10.293829,BAIXA
2015-07-22,10.61,10.72,10.33,10.36,30155200,9.938869,BAIXA
2015-07-23,10.22,10.56,10.12,10.12,50696500,9.708626,BAIXA
2015-07-24,10.17,10.23,9.76,10.03,45143700,9.622284,BAIXA
2015-07-27,9.96,9.99,9.50,9.50,54768800,9.113829,BAIXA
2015-07-28,9.69,10.22,9.61,10.02,72306100,9.612691,ALTA
2015-07-29,10.01,10.77,9.91,10.70,88194700,10.265050,ALTA
2015-07-30,10.83,10.93,10.24,10.42,47498400,9.996430,BAIXA
2015-07-31,10.48,10.70,10.32,10.49,37462200,10.063585,ALTA
2015-08-03,10.36,10.41,9.95,10.03,41499600,9.622284,BAIXA
2015-08-04,10.14,10.45,10.10,10.16,30786900,9.746999,ALTA
2015-08-05,10.41,10.55,10.01,10.01,43759700,9.603098,BAIXA
2015-08-06,9.86,10.39,9.74,10.34,60293400,9.919683,ALTA
2015-08-07,10.25,10.55,9.68,9.69,65832700,9.296104,BAIXA
2015-08-10,9.81,10.03,9.57,9.99,51017800,9.583911,ALTA
2015-08-11,9.79,9.98,9.47,9.98,45648700,9.574316,ALTA
2015-08-12,9.80,10.01,9.67,9.82,40039100,9.420821,ALTA
2015-08-13,9.91,9.97,9.50,9.50,31405700,9.113829,BAIXA
2015-08-14,9.61,9.68,9.30,9.30,28018600,8.921959,BAIXA
2015-08-17,9.20,9.36,9.12,9.15,33125100,8.778056,BAIXA
2015-08-18,9.06,9.20,8.82,8.99,38013600,8.624559,BAIXA
2015-08-19,8.95,9.05,8.63,8.74,37036000,8.384722,BAIXA
2015-08-20,8.64,8.96,8.56,8.69,38857700,8.336755,ALTA
2015-08-21,8.60,8.64,8.29,8.30,39848800,7.962608,BAIXA
2015-08-24,7.76,8.17,7.53,7.89,70881000,7.569275,ALTA
2015-08-25,8.10,8.23,7.85,7.85,58283200,7.530900,BAIXA
2015-08-26,8.07,8.13,7.85,8.13,43893300,7.799519,ALTA
2015-08-27,8.25,8.93,8.23,8.92,66820200,8.557405,ALTA
2015-08-28,8.67,9.39,8.61,9.02,77260900,8.653342,ALTA
2015-08-31,8.71,9.29,8.52,9.19,76576400,8.816429,ALTA
2015-09-01,8.75,9.09,8.54,8.59,52756400,8.240820,BAIXA
