,PETR4.SA.OPEN,PETR4.SA.HIGH,PETR4.SA.LOW,PETR4.SA.CLOSE,PETR4.SA.VOLUME,PETR4.SA.ADJUSTED,FECHAMENTO
2018-01-02,16.19,16.55,16.19,16.55,33461800,15.87725,ALTA
2018-01-03,16.49,16.72,16.37,16.70,55940900,16.02115,ALTA
2018-01-04,16.78,16.96,16.62,16.73,37064900,16.04993,BAIXA
2018-01-05,16.70,16.86,16.57,16.83,26958200,16.14587,ALTA
2018-01-08,16.74,17.03,16.71,17.03,28400000,16.33774,ALTA
2018-01-09,17.03,17.16,16.96,17.03,35070900,16.33774,ESTAVEL
2018-01-10,16.92,17.05,16.77,16.80,28547700,16.11709,BAIXA
2018-01-11,16.88,17.30,16.84,17.25,37921500,16.54879,ALTA
2018-01-12,17.04,17.41,17.02,17.30,45912100,16.59676,ALTA
2018-01-15,17.32,17.44,17.15,17.35,28945400,16.64473,ALTA
2018-01-16,17.35,17.84,17.30,17.65,58618300,16.93253,ALTA
2018-01-17,17.92,18.36,17.81,18.36,58488900,17.61367,ALTA
2018-01-18,18.35,18.53,17.93,18.22,48575800,17.47936,BAIXA
2018-01-19,18.31,18.42,18.03,18.26,33470200,17.51774,BAIXA
2018-01-22,18.26,18.47,18.09,18.47,33920000,17.71920,ALTA
2018-01-23,18.40,18.46,18.00,18.24,35567700,17.49855,BAIXA
2018-01-24,18.42,19.63,18.42,19.34,89768200,18.55384,ALTA
2018-01-25,19.34,19.34,19.34,19.34,0,18.55384,ESTAVEL
2018-01-26,19.62,19.98,19.10,19.93,81989500,19.11985,ALTA
2018-01-29,19.67,20.05,19.57,19.85,55726200,19.04311,ALTA
2018-01-30,19.77,19.77,19.36,19.49,46203000,18.69774,BAIXA
2018-01-31,19.74,19.93,19.68,19.70,41576600,18.89920,BAIXA
2018-02-01,19.76,20.62,19.76,20.52,51950200,19.68587,ALTA
2018-02-02,20.30,20.42,19.85,19.97,50657800,19.15823,BAIXA
2018-02-05,19.65,19.97,19.04,19.04,62268600,18.26603,BAIXA
2018-02-06,18.66,19.99,18.62,19.99,74146500,19.17741,ALTA
2018-02-07,19.97,20.22,19.36,19.44,61910300,18.64977,BAIXA
2018-02-08,19.55,19.74,18.80,19.05,51115100,18.27563,BAIXA
2018-02-09,19.03,19.39,18.51,18.77,68727600,18.00701,BAIXA
2018-02-14,19.01,19.36,18.96,19.25,43402800,18.46749,ALTA
2018-02-15,19.50,19.54,19.17,19.40,31978000,18.61140,BAIXA
2018-02-16,19.46,19.58,19.31,19.42,34736300,18.63058,BAIXA
2018-02-19,19.55,20.10,19.55,20.05,40925500,19.23498,ALTA
2018-02-20,19.88,20.82,19.82,20.44,67418700,19.60912,ALTA
2018-02-21,20.59,20.88,20.25,20.25,55678400,19.42684,BAIXA
2018-02-22,20.59,20.82,20.54,20.74,38170900,19.89693,ALTA
2018-02-23,20.95,21.14,20.62,21.12,55755600,20.26148,ALTA
2018-02-26,21.40,21.69,21.38,21.52,48160500,20.64522,ALTA
2018-02-27,21.47,21.85,21.34,21.50,42912500,20.62603,ALTA
2018-02-28,21.63,21.77,21.18,21.46,66229400,20.58766,BAIXA
2018-03-01,21.40,21.46,20.76,21.03,66380900,20.17514,BAIXA
2018-03-02,20.70,21.51,20.51,21.51,52682900,20.63563,BAIXA
2018-03-05,21.49,22.17,21.36,22.12,54242600,21.22083,ALTA
2018-03-06,22.50,22.63,21.86,21.90,57240800,21.00977,ALTA
2018-03-07,21.69,21.97,21.37,21.67,50956600,20.78912,BAIXA
2018-03-08,21.85,21.88,21.32,21.70,36156800,20.81790,BAIXA
2018-03-09,21.78,22.39,21.59,22.39,45560000,21.47986,ALTA
2018-03-12,22.54,22.59,22.23,22.33,32363900,21.42229,BAIXA
2018-03-13,22.45,22.54,22.06,22.11,34732800,21.21124,BAIXA
